alert_id,entity_id,alert_type,evidence_id,confidence,explanation
A00001,P0463,LOCATION_ASSOCIATION,T02386,0.94,A linked vehicle/person was observed at a monitored synthetic location.
A00002,P0072,LOCATION_ASSOCIATION,T01526,0.75,A linked vehicle/person was observed at a monitored synthetic location.
A00003,P0299,LOCATION_ASSOCIATION,T02400,0.82,A linked vehicle/person was observed at a monitored synthetic location.
A00004,P0309,DENSE_NETWORK_CLUSTER,C02537,0.73,Entity is located in a densely connected synthetic graph cluster.
A00005,P0389,UNUSUAL_TRANSACTION,T02780,0.82,Transaction pattern deviates from the synthetic baseline.
A00006,P0224,LOCATION_ASSOCIATION,C01409,0.77,A linked vehicle/person was observed at a monitored synthetic location.
A00007,P0280,LOCATION_ASSOCIATION,T00052,0.93,A linked vehicle/person was observed at a monitored synthetic location.
A00008,P0478,LOCATION_ASSOCIATION,C05362,0.69,A linked vehicle/person was observed at a monitored synthetic location.
A00009,P0422,LOCATION_ASSOCIATION,C05675,0.68,A linked vehicle/person was observed at a monitored synthetic location.
A00010,P0178,HIGH_CALL_ACTIVITY,C03398,0.91,Repeated communication was detected between connected entities.
A00011,P0269,LOCATION_ASSOCIATION,C02773,0.64,A linked vehicle/person was observed at a monitored synthetic location.
A00012,P0211,UNUSUAL_TRANSACTION,C01264,0.94,Transaction pattern deviates from the synthetic baseline.
A00013,P0041,UNUSUAL_TRANSACTION,T00038,0.73,Transaction pattern deviates from the synthetic baseline.
A00014,P0368,DENSE_NETWORK_CLUSTER,F00313,0.88,Entity is located in a densely connected synthetic graph cluster.
A00015,P0144,HIGH_CALL_ACTIVITY,C02802,0.94,Repeated communication was detected between connected entities.
A00016,P0384,HIGH_CALL_ACTIVITY,C04522,0.64,Repeated communication was detected between connected entities.
A00017,P0075,LOCATION_ASSOCIATION,C02646,0.75,A linked vehicle/person was observed at a monitored synthetic location.
A00018,P0466,HIGH_CALL_ACTIVITY,T02327,0.83,Repeated communication was detected between connected entities.
A00019,P0276,HIGH_CALL_ACTIVITY,T00159,0.72,Repeated communication was detected between connected entities.
A00020,P0316,LOCATION_ASSOCIATION,T00757,0.72,A linked vehicle/person was observed at a monitored synthetic location.
A00021,P0142,LOCATION_ASSOCIATION,T00675,0.96,A linked vehicle/person was observed at a monitored synthetic location.
A00022,P0116,LOCATION_ASSOCIATION,T00619,0.74,A linked vehicle/person was observed at a monitored synthetic location.
A00023,P0319,DENSE_NETWORK_CLUSTER,C03165,0.81,Entity is located in a densely connected synthetic graph cluster.
A00024,P0319,DENSE_NETWORK_CLUSTER,C04274,0.62,Entity is located in a densely connected synthetic graph cluster.
A00025,P0480,DENSE_NETWORK_CLUSTER,C05552,0.77,Entity is located in a densely connected synthetic graph cluster.
A00026,P0003,DENSE_NETWORK_CLUSTER,T01359,0.96,Entity is located in a densely connected synthetic graph cluster.
A00027,P0305,LOCATION_ASSOCIATION,F00534,0.64,A linked vehicle/person was observed at a monitored synthetic location.
A00028,P0002,UNUSUAL_TRANSACTION,C03117,0.65,Transaction pattern deviates from the synthetic baseline.
A00029,P0455,DENSE_NETWORK_CLUSTER,T00166,0.67,Entity is located in a densely connected synthetic graph cluster.
A00030,P0016,HIGH_CALL_ACTIVITY,C01301,0.75,Repeated communication was detected between connected entities.
A00031,P0290,DENSE_NETWORK_CLUSTER,C00452,0.81,Entity is located in a densely connected synthetic graph cluster.
A00032,P0464,HIGH_CALL_ACTIVITY,T01135,0.75,Repeated communication was detected between connected entities.
A00033,P0237,UNUSUAL_TRANSACTION,T01766,0.68,Transaction pattern deviates from the synthetic baseline.
A00034,P0070,HIGH_CALL_ACTIVITY,C03361,0.77,Repeated communication was detected between connected entities.
A00035,P0252,UNUSUAL_TRANSACTION,C03501,0.92,Transaction pattern deviates from the synthetic baseline.
A00036,P0013,HIGH_CALL_ACTIVITY,T01904,0.63,Repeated communication was detected between connected entities.
A00037,P0182,UNUSUAL_TRANSACTION,C03546,0.92,Transaction pattern deviates from the synthetic baseline.
A00038,P0466,HIGH_CALL_ACTIVITY,C02389,0.76,Repeated communication was detected between connected entities.
A00039,P0021,UNUSUAL_TRANSACTION,T02900,0.78,Transaction pattern deviates from the synthetic baseline.
A00040,P0322,HIGH_CALL_ACTIVITY,T00887,0.69,Repeated communication was detected between connected entities.
A00041,P0193,HIGH_CALL_ACTIVITY,T01894,0.88,Repeated communication was detected between connected entities.
