cdr_id,caller_id,receiver_id,timestamp,duration_seconds
C00001,P0152,P0136,2026-08-02 03:52,377
C00002,P0437,P0149,2026-06-26 21:20,892
C00003,P0049,P0436,2026-01-01 04:42,369
C00004,P0390,P0368,2026-02-12 10:11,253
C00005,P0368,P0375,2026-08-26 13:41,361
C00006,P0011,P0007,2026-07-19 15:51,1185
C00007,P0140,P0125,2026-06-20 00:55,287
C00008,P0358,P0377,2026-08-02 02:16,663
C00009,P0450,P0448,2026-04-22 10:33,1091
C00010,P0457,P0478,2026-04-16 11:42,808
C00011,P0440,P0404,2026-01-21 05:32,981
C00012,P0446,P0085,2026-02-25 15:20,513
C00013,P0204,P0233,2026-04-18 20:24,845
C00014,P0041,P0236,2026-08-26 18:28,200
C00015,P0229,P0162,2026-02-16 23:41,56
C00016,P0303,P0336,2026-01-27 02:50,643
C00017,P0288,P0106,2026-08-11 11:52,131
C00018,P0433,P0233,2026-06-18 19:38,988
C00019,P0296,P0279,2026-02-04 21:14,24
C00020,P0236,P0234,2026-06-23 03:02,356
C00021,P0307,P0317,2026-04-07 03:59,824
C00022,P0196,P0172,2026-02-25 13:02,272
C00023,P0231,P0235,2026-03-16 00:33,119
C00024,P0338,P0331,2026-03-23 18:11,282
C00025,P0489,P0471,2026-07-14 19:58,528
C00026,P0269,P0279,2026-03-05 13:38,1069
C00027,P0421,P0446,2026-04-07 06:39,615
C00028,P0146,P0142,2026-03-17 17:44,680
C00029,P0286,P0281,2026-07-22 23:57,1113
C00030,P0301,P0334,2026-02-01 12:09,128
C00031,P0168,P0199,2026-03-10 21:16,319
C00032,P0354,P0402,2026-05-07 17:02,754
C00033,P0053,P0316,2026-04-24 20:35,816
C00034,P0245,P0243,2026-01-13 12:26,660
C00035,P0028,P0007,2026-05-07 19:55,927
C00036,P0467,P0325,2026-06-25 18:34,422
C00037,P0494,P0100,2026-05-15 05:43,172
C00038,P0148,P0133,2026-02-13 01:27,591
C00039,P0111,P0138,2026-05-01 10:29,337
C00040,P0289,P0254,2026-05-16 18:35,753
C00041,P0284,P0265,2026-03-17 02:50,1054
C00042,P0435,P0426,2026-02-12 07:56,456
C00043,P0274,P0269,2026-04-25 19:33,992
C00044,P0422,P0386,2026-01-04 21:22,932
C00045,P0490,P0466,2026-01-22 10:24,252
C00046,P0447,P0419,2026-01-17 11:32,1061
C00047,P0019,P0042,2026-04-11 16:05,216
C00048,P0435,P0401,2026-02-07 21:40,456
C00049,P0218,P0428,2026-02-07 17:53,911
C00050,P0098,P0094,2026-03-01 14:45,699
C00051,P0054,P0062,2026-05-18 02:36,486
C00052,P0209,P0199,2026-08-21 12:27,667
C00053,P0085,P0051,2026-02-25 23:37,113
C00054,P0073,P0083,2026-02-10 21:19,197
C00055,P0375,P0376,2026-01-16 05:34,470
C00056,P0335,P0319,2026-03-10 21:56,784
C00057,P0006,P0284,2026-03-04 01:00,1192
C00058,P0436,P0406,2026-05-07 23:47,724
C00059,P0410,P0411,2026-03-08 19:53,537
C00060,P0143,P0137,2026-01-28 17:29,1145
C00061,P0067,P0057,2026-04-24 18:31,697
C00062,P0157,P0169,2026-02-07 10:31,942
C00063,P0245,P0238,2026-03-19 18:23,667
C00064,P0087,P0003,2026-06-08 07:45,913
C00065,P0259,P0294,2026-06-16 14:28,754
C00066,P0250,P0283,2026-02-06 20:38,187
C00067,P0440,P0424,2026-03-18 06:16,176
C00068,P0457,P0010,2026-01-27 18:37,849
C00069,P0109,P0465,2026-01-18 08:34,1125
C00070,P0124,P0126,2026-04-25 18:46,615
C00071,P0433,P0406,2026-07-12 16:00,509
C00072,P0413,P0315,2026-03-25 16:08,933
C00073,P0487,P0493,2026-03-24 23:30,754
C00074,P0365,P0355,2026-05-12 07:02,443
C00075,P0275,P0281,2026-08-02 01:41,683
C00076,P0441,P0418,2026-05-19 17:36,376
C00077,P0324,P0338,2026-02-17 08:24,476
C00078,P0273,P0282,2026-08-20 00:32,304
C00079,P0155,P0183,2026-05-07 04:11,342
C00080,P0093,P0065,2026-07-26 10:46,252
C00081,P0381,P0364,2026-03-21 13:01,519
C00082,P0488,P0461,2026-03-21 16:02,1192
C00083,P0117,P0112,2026-07-20 18:40,58
C00084,P0373,P0339,2026-05-03 06:28,985
C00085,P0088,P0113,2026-07-20 04:50,392
C00086,P0417,P0411,2026-06-15 19:37,160
C00087,P0309,P0307,2026-01-07 16:55,1052
C00088,P0139,P0107,2026-03-16 19:38,99
C00089,P0273,P0258,2026-02-03 15:42,286
C00090,P0277,P0424,2026-01-25 21:41,903
C00091,P0253,P0295,2026-07-08 15:50,800
C00092,P0457,P0478,2026-03-09 15:49,496
C00093,P0043,P0146,2026-07-09 06:00,34
C00094,P0084,P0051,2026-07-21 06:44,666
C00095,P0060,P0078,2026-05-09 17:27,1176
C00096,P0244,P0226,2026-04-14 17:50,1161
C00097,P0286,P0281,2026-05-10 18:22,835
C00098,P0438,P0443,2026-02-24 07:28,351
C00099,P0426,P0422,2026-01-06 12:40,30
C00100,P0422,P0075,2026-08-20 13:05,151
C00101,P0256,P0289,2026-01-24 12:59,840
C00102,P0419,P0446,2026-01-25 05:40,1032
C00103,P0193,P0184,2026-05-07 01:50,1065
C00104,P0190,P0161,2026-01-12 07:41,20
C00105,P0045,P0142,2026-07-12 21:25,850
C00106,P0401,P0448,2026-02-03 17:18,1165
C00107,P0179,P0178,2026-05-08 19:12,951
C00108,P0295,P0003,2026-05-06 13:32,238
C00109,P0419,P0422,2026-02-26 16:16,1121
C00110,P0295,P0129,2026-08-13 18:30,518
C00111,P0493,P0398,2026-08-22 14:57,76
C00112,P0205,P0225,2026-04-22 22:14,666
C00113,P0284,P0285,2026-01-23 08:15,608
C00114,P0255,P0286,2026-03-16 10:22,467
C00115,P0138,P0094,2026-04-16 23:12,500
C00116,P0447,P0136,2026-04-08 06:53,531
C00117,P0183,P0080,2026-02-04 02:43,1028
C00118,P0403,P0431,2026-06-20 10:31,1196
C00119,P0252,P0094,2026-05-13 07:48,282
C00120,P0331,P0335,2026-01-17 11:25,377
C00121,P0095,P0084,2026-08-11 22:00,44
C00122,P0338,P0307,2026-06-12 19:55,551
C00123,P0216,P0218,2026-08-20 10:23,396
C00124,P0177,P0195,2026-06-12 12:17,943
C00125,P0137,P0144,2026-04-27 03:46,572
C00126,P0285,P0222,2026-07-07 04:51,326
C00127,P0012,P0027,2026-08-05 20:33,1113
C00128,P0403,P0250,2026-05-09 17:54,1182
C00129,P0095,P0061,2026-01-07 08:30,217
C00130,P0267,P0274,2026-06-18 17:59,547
C00131,P0308,P0323,2026-04-19 18:41,1122
C00132,P0223,P0221,2026-08-25 23:28,180
C00133,P0230,P0241,2026-03-28 05:40,710
C00134,P0487,P0476,2026-02-03 05:21,487
C00135,P0246,P0218,2026-07-09 14:49,763
C00136,P0267,P0495,2026-08-14 05:11,67
C00137,P0193,P0167,2026-02-07 05:25,230
C00138,P0386,P0354,2026-01-25 12:33,190
C00139,P0460,P0456,2026-07-10 07:15,601
C00140,P0109,P0134,2026-03-01 01:42,750
C00141,P0167,P0443,2026-08-15 17:59,577
C00142,P0145,P0135,2026-03-19 19:29,1175
C00143,P0420,P0423,2026-08-18 07:51,203
C00144,P0277,P0267,2026-03-10 00:00,1091
C00145,P0435,P0070,2026-06-10 15:34,37
C00146,P0399,P0381,2026-05-01 13:51,619
C00147,P0036,P0024,2026-04-14 17:27,828
C00148,P0325,P0315,2026-05-03 13:40,510
C00149,P0495,P0494,2026-05-10 20:47,1109
C00150,P0212,P0097,2026-02-06 04:18,246
C00151,P0479,P0468,2026-08-07 10:01,331
C00152,P0402,P0412,2026-02-10 08:08,917
C00153,P0120,P0047,2026-03-01 15:13,720
C00154,P0374,P0380,2026-01-11 02:53,319
C00155,P0305,P0335,2026-08-06 06:57,532
C00156,P0425,P0007,2026-02-25 22:15,808
C00157,P0227,P0127,2026-01-07 14:47,212
C00158,P0181,P0175,2026-05-11 05:40,106
C00159,P0282,P0267,2026-02-09 15:40,631
C00160,P0043,P0014,2026-02-08 20:27,684
C00161,P0238,P0208,2026-07-26 07:00,106
C00162,P0395,P0389,2026-03-12 02:15,342
C00163,P0472,P0499,2026-01-02 11:41,335
C00164,P0059,P0082,2026-04-11 17:50,731
C00165,P0225,P0376,2026-04-01 22:24,753
C00166,P0129,P0461,2026-01-16 22:28,1164
C00167,P0363,P0387,2026-03-18 11:20,979
C00168,P0486,P0461,2026-02-17 04:28,625
C00169,P0278,P0188,2026-08-01 20:32,796
C00170,P0453,P0010,2026-06-25 19:15,676
C00171,P0338,P0496,2026-07-07 16:43,1038
C00172,P0079,P0314,2026-05-11 13:41,679
C00173,P0443,P0405,2026-01-27 04:11,84
C00174,P0363,P0357,2026-01-19 20:53,815
C00175,P0440,P0445,2026-05-02 11:14,165
C00176,P0192,P0182,2026-02-15 20:03,759
C00177,P0324,P0346,2026-01-27 19:17,1103
C00178,P0070,P0055,2026-04-17 03:06,493
C00179,P0163,P0184,2026-04-19 20:11,1163
C00180,P0213,P0383,2026-02-25 20:36,753
C00181,P0307,P0311,2026-03-18 12:32,711
C00182,P0439,P0429,2026-06-11 17:20,781
C00183,P0347,P0321,2026-04-19 17:13,788
C00184,P0475,P0382,2026-05-12 14:28,833
C00185,P0019,P0039,2026-01-17 04:56,638
C00186,P0164,P0171,2026-01-25 22:52,585
C00187,P0262,P0285,2026-03-04 01:29,748
C00188,P0224,P0238,2026-04-08 08:51,635
C00189,P0337,P0314,2026-02-24 10:50,1008
C00190,P0457,P0489,2026-05-02 23:51,1200
C00191,P0050,P0022,2026-06-27 13:26,266
C00192,P0117,P0383,2026-01-21 20:24,130
C00193,P0021,P0035,2026-03-11 16:44,472
C00194,P0329,P0349,2026-02-08 13:18,827
C00195,P0256,P0281,2026-01-18 12:16,194
C00196,P0350,P0345,2026-03-25 04:30,1165
C00197,P0342,P0337,2026-04-18 19:47,1093
C00198,P0068,P0100,2026-07-11 21:59,1199
C00199,P0328,P0324,2026-06-07 10:22,69
C00200,P0087,P0180,2026-08-20 04:28,111
C00201,P0120,P0103,2026-06-05 23:54,195
C00202,P0016,P0040,2026-03-28 09:00,723
C00203,P0070,P0079,2026-08-01 10:13,1121
C00204,P0434,P0449,2026-05-18 15:39,309
C00205,P0025,P0038,2026-01-09 05:03,601
C00206,P0468,P0454,2026-08-21 00:04,815
C00207,P0257,P0252,2026-05-28 20:24,493
C00208,P0261,P0364,2026-02-11 15:55,1108
C00209,P0183,P0180,2026-01-02 07:59,1104
C00210,P0376,P0398,2026-03-01 11:43,740
C00211,P0216,P0233,2026-05-26 01:40,547
C00212,P0456,P0418,2026-01-18 08:14,330
C00213,P0343,P0309,2026-02-24 12:33,485
C00214,P0460,P0478,2026-05-20 10:28,1130
C00215,P0138,P0135,2026-04-28 04:19,1092
C00216,P0221,P0466,2026-03-21 18:58,343
C00217,P0435,P0447,2026-02-06 10:53,318
C00218,P0392,P0164,2026-07-14 09:28,580
C00219,P0157,P0159,2026-03-01 19:39,566
C00220,P0465,P0489,2026-04-08 21:01,755
C00221,P0359,P0383,2026-08-23 20:23,396
C00222,P0252,P0243,2026-03-06 06:14,86
C00223,P0018,P0027,2026-04-24 21:12,438
C00224,P0390,P0382,2026-06-28 14:56,525
C00225,P0039,P0048,2026-07-24 10:25,1191
C00226,P0442,P0446,2026-01-17 03:28,955
C00227,P0022,P0450,2026-04-17 17:25,100
C00228,P0449,P0441,2026-01-07 09:28,835
C00229,P0397,P0424,2026-05-15 05:27,622
C00230,P0045,P0034,2026-03-15 20:28,205
C00231,P0058,P0093,2026-03-13 13:20,943
C00232,P0388,P0396,2026-04-15 02:16,683
C00233,P0146,P0147,2026-02-03 03:45,940
C00234,P0084,P0096,2026-07-24 16:39,347
C00235,P0303,P0350,2026-03-11 18:55,327
C00236,P0112,P0150,2026-01-14 09:19,933
C00237,P0108,P0109,2026-04-01 19:48,538
C00238,P0382,P0385,2026-01-20 15:15,464
C00239,P0380,P0377,2026-08-03 19:38,33
C00240,P0418,P0440,2026-04-02 05:09,132
C00241,P0010,P0003,2026-05-11 02:03,243
C00242,P0111,P0144,2026-05-20 21:44,1192
C00243,P0091,P0495,2026-08-24 18:23,93
C00244,P0221,P0224,2026-07-27 02:48,895
C00245,P0034,P0150,2026-08-05 03:44,582
C00246,P0334,P0314,2026-04-20 01:06,1190
C00247,P0323,P0271,2026-02-16 23:44,608
C00248,P0267,P0284,2026-06-05 19:36,1036
C00249,P0382,P0362,2026-04-23 09:12,23
C00250,P0391,P0358,2026-04-26 19:26,867
C00251,P0286,P0291,2026-04-01 20:12,596
C00252,P0070,P0083,2026-06-25 00:07,702
C00253,P0490,P0452,2026-03-07 10:53,712
C00254,P0246,P0470,2026-08-26 01:41,298
C00255,P0385,P0372,2026-08-26 13:59,134
C00256,P0154,P0290,2026-06-18 17:01,446
C00257,P0273,P0255,2026-03-09 00:21,788
C00258,P0137,P0139,2026-07-06 19:07,651
C00259,P0296,P0253,2026-05-14 02:31,506
C00260,P0214,P0234,2026-05-06 03:23,96
C00261,P0468,P0048,2026-08-17 00:51,1008
C00262,P0079,P0098,2026-06-16 23:55,1092
C00263,P0260,P0300,2026-02-27 16:43,291
C00264,P0030,P0025,2026-02-01 09:59,110
C00265,P0456,P0472,2026-08-02 03:33,659
C00266,P0241,P0214,2026-06-07 06:18,586
C00267,P0393,P0358,2026-05-05 05:17,254
C00268,P0486,P0483,2026-02-07 17:22,1145
C00269,P0146,P0119,2026-04-06 02:19,713
C00270,P0009,P0002,2026-08-22 01:06,805
C00271,P0326,P0312,2026-08-20 11:19,700
C00272,P0366,P0389,2026-02-25 14:36,289
C00273,P0357,P0380,2026-05-22 20:45,973
C00274,P0160,P0190,2026-05-12 12:11,696
C00275,P0452,P0167,2026-08-16 00:04,993
C00276,P0380,P0361,2026-05-25 11:38,1196
C00277,P0076,P0096,2026-02-11 17:41,165
C00278,P0273,P0237,2026-07-19 13:15,519
C00279,P0375,P0355,2026-06-07 22:37,902
C00280,P0223,P0291,2026-06-18 22:15,374
C00281,P0098,P0096,2026-08-04 18:38,968
C00282,P0079,P0062,2026-05-13 02:38,242
C00283,P0500,P0475,2026-06-16 20:42,145
C00284,P0138,P0149,2026-01-25 04:42,325
C00285,P0225,P0240,2026-08-07 06:43,668
C00286,P0228,P0246,2026-06-03 18:00,1065
C00287,P0119,P0104,2026-06-18 01:00,1166
C00288,P0184,P0057,2026-05-28 00:15,904
C00289,P0341,P0321,2026-07-13 12:27,1136
C00290,P0131,P0109,2026-04-18 12:53,757
