relationship_id,source_entity,target_entity,relationship_type,evidence_id
R000001,P0152,P0136,CALLED,C00001
R000002,P0437,P0149,CALLED,C00002
R000003,P0049,P0436,CALLED,C00003
R000004,P0390,P0368,CALLED,C00004
R000005,P0368,P0375,CALLED,C00005
R000006,P0011,P0007,CALLED,C00006
R000007,P0140,P0125,CALLED,C00007
R000008,P0358,P0377,CALLED,C00008
R000009,P0450,P0448,CALLED,C00009
R000010,P0457,P0478,CALLED,C00010
R000011,P0440,P0404,CALLED,C00011
R000012,P0446,P0085,CALLED,C00012
R000013,P0204,P0233,CALLED,C00013
R000014,P0041,P0236,CALLED,C00014
R000015,P0229,P0162,CALLED,C00015
R000016,P0303,P0336,CALLED,C00016
R000017,P0288,P0106,CALLED,C00017
R000018,P0433,P0233,CALLED,C00018
R000019,P0296,P0279,CALLED,C00019
R000020,P0236,P0234,CALLED,C00020
R000021,P0307,P0317,CALLED,C00021
R000022,P0196,P0172,CALLED,C00022
R000023,P0231,P0235,CALLED,C00023
R000024,P0338,P0331,CALLED,C00024
R000025,P0489,P0471,CALLED,C00025
R000026,P0269,P0279,CALLED,C00026
R000027,P0421,P0446,CALLED,C00027
R000028,P0146,P0142,CALLED,C00028
R000029,P0286,P0281,CALLED,C00029
R000030,P0301,P0334,CALLED,C00030
R000031,P0168,P0199,CALLED,C00031
R000032,P0354,P0402,CALLED,C00032
R000033,P0053,P0316,CALLED,C00033
R000034,P0245,P0243,CALLED,C00034
R000035,P0028,P0007,CALLED,C00035
R000036,P0467,P0325,CALLED,C00036
R000037,P0494,P0100,CALLED,C00037
R000038,P0148,P0133,CALLED,C00038
R000039,P0111,P0138,CALLED,C00039
R000040,P0289,P0254,CALLED,C00040
R000041,P0284,P0265,CALLED,C00041
R000042,P0435,P0426,CALLED,C00042
R000043,P0274,P0269,CALLED,C00043
R000044,P0422,P0386,CALLED,C00044
R000045,P0490,P0466,CALLED,C00045
R000046,P0447,P0419,CALLED,C00046
R000047,P0019,P0042,CALLED,C00047
R000048,P0435,P0401,CALLED,C00048
R000049,P0218,P0428,CALLED,C00049
R000050,P0098,P0094,CALLED,C00050
R000051,P0054,P0062,CALLED,C00051
R000052,P0209,P0199,CALLED,C00052
R000053,P0085,P0051,CALLED,C00053
R000054,P0073,P0083,CALLED,C00054
R000055,P0375,P0376,CALLED,C00055
R000056,P0335,P0319,CALLED,C00056
R000057,P0006,P0284,CALLED,C00057
R000058,P0436,P0406,CALLED,C00058
R000059,P0410,P0411,CALLED,C00059
R000060,P0143,P0137,CALLED,C00060
R000061,P0067,P0057,CALLED,C00061
R000062,P0157,P0169,CALLED,C00062
R000063,P0245,P0238,CALLED,C00063
R000064,P0087,P0003,CALLED,C00064
R000065,P0259,P0294,CALLED,C00065
R000066,P0250,P0283,CALLED,C00066
R000067,P0440,P0424,CALLED,C00067
R000068,P0457,P0010,CALLED,C00068
R000069,P0109,P0465,CALLED,C00069
R000070,P0124,P0126,CALLED,C00070
R000071,P0433,P0406,CALLED,C00071
R000072,P0413,P0315,CALLED,C00072
R000073,P0487,P0493,CALLED,C00073
R000074,P0365,P0355,CALLED,C00074
R000075,P0275,P0281,CALLED,C00075
R000076,P0441,P0418,CALLED,C00076
R000077,P0324,P0338,CALLED,C00077
R000078,P0273,P0282,CALLED,C00078
R000079,P0155,P0183,CALLED,C00079
R000080,P0093,P0065,CALLED,C00080
R000081,P0381,P0364,CALLED,C00081
R000082,P0488,P0461,CALLED,C00082
R000083,P0117,P0112,CALLED,C00083
R000084,P0373,P0339,CALLED,C00084
R000085,P0088,P0113,CALLED,C00085
R000086,P0417,P0411,CALLED,C00086
R000087,P0309,P0307,CALLED,C00087
R000088,P0139,P0107,CALLED,C00088
R000089,P0273,P0258,CALLED,C00089
R000090,P0277,P0424,CALLED,C00090
R000091,P0253,P0295,CALLED,C00091
R000092,P0457,P0478,CALLED,C00092
R000093,P0043,P0146,CALLED,C00093
R000094,P0084,P0051,CALLED,C00094
R000095,P0060,P0078,CALLED,C00095
R000096,P0244,P0226,CALLED,C00096
R000097,P0286,P0281,CALLED,C00097
R000098,P0438,P0443,CALLED,C00098
R000099,P0426,P0422,CALLED,C00099
