transaction_id,sender_id,receiver_id,amount_inr,date,method
T00001,P0348,P0383,5417.4,2026-07-21,BANK_TRANSFER
T00002,P0002,P0459,3259.69,2026-04-06,BANK_TRANSFER
T00003,P0051,P0481,6112.86,2026-08-12,CARD
T00004,P0232,P0422,12313.16,2026-06-02,CARD
T00005,P0283,P0446,3018.99,2026-01-22,UPI
T00006,P0018,P0249,3019.03,2026-06-22,UPI
T00007,P0024,P0130,12879.22,2026-07-26,CARD
T00008,P0467,P0025,6727.43,2026-08-10,UPI
T00009,P0298,P0011,2500.94,2026-07-27,BANK_TRANSFER
T00010,P0471,P0273,5619.78,2026-05-16,BANK_TRANSFER
T00011,P0098,P0315,2513.08,2026-03-02,UPI
T00012,P0153,P0323,2508.44,2026-05-27,BANK_TRANSFER
T00013,P0007,P0350,4418.56,2026-08-08,CARD
T00014,P0052,P0294,787.9,2026-08-03,CARD
T00015,P0335,P0320,916.05,2026-01-04,UPI
T00016,P0093,P0030,2321.97,2026-04-25,BANK_TRANSFER
T00017,P0251,P0466,1619.28,2026-03-20,CARD
T00018,P0497,P0333,4681.61,2026-02-24,BANK_TRANSFER
T00019,P0317,P0413,1760.9,2026-05-05,BANK_TRANSFER
T00020,P0043,P0327,1176.33,2026-07-14,CARD
T00021,P0216,P0141,11760.7,2026-08-03,UPI
T00022,P0251,P0356,3039.29,2026-04-12,UPI
T00023,P0227,P0175,3843.05,2026-07-12,UPI
T00024,P0359,P0363,1164.68,2026-01-18,UPI
T00025,P0055,P0489,2355.47,2026-04-01,CARD
T00026,P0003,P0039,3978.81,2026-07-03,CARD
T00027,P0444,P0269,1449.84,2026-04-06,UPI
T00028,P0170,P0082,4917.51,2026-01-02,BANK_TRANSFER
T00029,P0152,P0036,2251.81,2026-07-13,CARD
T00030,P0357,P0138,2883.17,2026-04-02,CARD
T00031,P0194,P0013,2249.89,2026-05-05,CARD
T00032,P0439,P0340,16023.67,2026-04-04,BANK_TRANSFER
T00033,P0252,P0072,3601.85,2026-04-05,BANK_TRANSFER
T00034,P0196,P0429,1562.17,2026-05-09,BANK_TRANSFER
T00035,P0060,P0020,7030.66,2026-07-02,BANK_TRANSFER
T00036,P0032,P0221,1371.04,2026-08-21,UPI
T00037,P0252,P0465,4303.1,2026-08-17,CARD
T00038,P0454,P0317,759.2,2026-03-03,BANK_TRANSFER
T00039,P0063,P0279,1258.22,2026-02-02,UPI
T00040,P0236,P0083,4261.98,2026-01-17,CARD
T00041,P0132,P0242,6573.31,2026-01-24,UPI
T00042,P0336,P0049,4175.94,2026-08-02,CARD
T00043,P0177,P0393,3319.21,2026-07-09,BANK_TRANSFER
T00044,P0327,P0446,2861.55,2026-07-24,BANK_TRANSFER
T00045,P0277,P0323,1115.64,2026-06-15,BANK_TRANSFER
T00046,P0231,P0304,2046.99,2026-01-08,CARD
T00047,P0116,P0205,2518.68,2026-08-28,CARD
T00048,P0164,P0325,8481.97,2026-05-25,BANK_TRANSFER
T00049,P0478,P0309,4792.92,2026-02-27,UPI
T00050,P0419,P0299,888.53,2026-04-24,BANK_TRANSFER
T00051,P0271,P0145,4718.6,2026-07-11,UPI
T00052,P0112,P0395,2675.61,2026-01-18,UPI
T00053,P0148,P0162,2118.5,2026-04-07,BANK_TRANSFER
T00054,P0450,P0109,5939.27,2026-01-09,CARD
T00055,P0419,P0279,8306.55,2026-03-01,BANK_TRANSFER
T00056,P0435,P0017,7669.63,2026-01-01,UPI
T00057,P0202,P0488,1860.55,2026-08-12,BANK_TRANSFER
T00058,P0135,P0229,2843.04,2026-06-07,CARD
T00059,P0398,P0316,4745.78,2026-07-26,BANK_TRANSFER
T00060,P0405,P0365,7946.1,2026-02-14,UPI
T00061,P0271,P0072,2481.6,2026-06-03,UPI
T00062,P0242,P0438,3138.41,2026-03-27,CARD
T00063,P0104,P0027,1502.57,2026-04-27,BANK_TRANSFER
T00064,P0260,P0084,1398.33,2026-02-16,UPI
T00065,P0199,P0490,6974.53,2026-04-22,UPI
T00066,P0444,P0015,10775.09,2026-01-26,CARD
T00067,P0471,P0133,3437.13,2026-01-18,CARD
T00068,P0264,P0366,8126.02,2026-07-23,UPI
T00069,P0055,P0086,4862.5,2026-06-17,UPI
T00070,P0155,P0156,2173.09,2026-04-02,BANK_TRANSFER
T00071,P0164,P0349,4861.57,2026-08-16,UPI
T00072,P0048,P0052,12461.87,2026-03-15,UPI
T00073,P0360,P0208,3538.08,2026-02-01,CARD
T00074,P0272,P0461,12729.98,2026-02-28,CARD
T00075,P0447,P0233,447.74,2026-07-14,UPI
T00076,P0468,P0189,7027.05,2026-03-03,BANK_TRANSFER
T00077,P0078,P0478,3903.53,2026-07-16,UPI
T00078,P0424,P0335,2866.35,2026-08-04,UPI
T00079,P0007,P0232,3918.28,2026-01-13,CARD
T00080,P0211,P0270,742.44,2026-07-09,BANK_TRANSFER
T00081,P0378,P0426,3054.17,2026-05-04,BANK_TRANSFER
T00082,P0243,P0454,4844.94,2026-04-12,CARD
T00083,P0431,P0160,11876.48,2026-07-18,CARD
T00084,P0172,P0099,2405.19,2026-08-10,UPI
T00085,P0176,P0089,1906.84,2026-06-15,BANK_TRANSFER
T00086,P0474,P0195,2437.17,2026-08-23,BANK_TRANSFER
T00087,P0416,P0386,7572.83,2026-04-22,CARD
T00088,P0192,P0046,4736.25,2026-07-21,BANK_TRANSFER
T00089,P0018,P0115,2383.18,2026-03-22,CARD
T00090,P0128,P0337,5489.62,2026-08-24,UPI
T00091,P0052,P0136,3934.98,2026-01-20,BANK_TRANSFER
T00092,P0365,P0331,7902.35,2026-01-22,BANK_TRANSFER
T00093,P0408,P0331,2076.33,2026-02-12,CARD
T00094,P0394,P0050,2801.39,2026-07-24,CARD
T00095,P0324,P0378,2660.62,2026-04-05,UPI
T00096,P0030,P0334,1129.11,2026-05-16,BANK_TRANSFER
T00097,P0078,P0173,4614.21,2026-07-03,CARD
T00098,P0047,P0186,4486.57,2026-06-22,CARD
T00099,P0323,P0440,3655.88,2026-04-08,CARD
T00100,P0397,P0150,3017.94,2026-02-13,UPI
T00101,P0474,P0388,450000.0,2026-01-14,UPI
T00102,P0281,P0377,2600.56,2026-02-11,CARD
T00103,P0357,P0374,2767.86,2026-07-13,UPI
T00104,P0339,P0425,1916.35,2026-04-01,CARD
T00105,P0274,P0030,3200.21,2026-06-03,CARD
T00106,P0268,P0111,5030.33,2026-05-07,BANK_TRANSFER
T00107,P0418,P0291,16464.28,2026-04-14,UPI
T00108,P0165,P0223,4186.68,2026-01-23,CARD
T00109,P0256,P0227,4474.01,2026-04-10,BANK_TRANSFER
T00110,P0075,P0151,3430.44,2026-05-04,CARD
T00111,P0218,P0238,784.45,2026-07-05,UPI
T00112,P0410,P0275,3564.54,2026-08-24,BANK_TRANSFER
T00113,P0124,P0011,3820.68,2026-07-10,BANK_TRANSFER
T00114,P0155,P0067,26123.58,2026-04-05,BANK_TRANSFER
T00115,P0271,P0121,3121.63,2026-05-17,BANK_TRANSFER
T00116,P0013,P0310,4634.29,2026-03-19,BANK_TRANSFER
T00117,P0054,P0216,3541.23,2026-03-18,CARD
T00118,P0302,P0021,1429.47,2026-05-12,BANK_TRANSFER
T00119,P0270,P0405,9083.89,2026-03-13,UPI
T00120,P0225,P0245,6644.51,2026-04-08,UPI
T00121,P0442,P0474,6855.63,2026-03-11,CARD
T00122,P0050,P0067,1758.98,2026-08-13,BANK_TRANSFER
T00123,P0115,P0137,11183.96,2026-01-09,UPI
T00124,P0319,P0227,1186.21,2026-05-09,BANK_TRANSFER
T00125,P0218,P0175,5822.5,2026-03-28,UPI
T00126,P0156,P0206,21001.82,2026-07-17,BANK_TRANSFER
T00127,P0482,P0391,1648.42,2026-02-14,CARD
T00128,P0092,P0035,2314.53,2026-08-12,UPI
T00129,P0237,P0054,3943.09,2026-04-12,CARD
T00130,P0337,P0074,2433.83,2026-05-11,BANK_TRANSFER
T00131,P0329,P0233,1053.07,2026-01-23,CARD
T00132,P0428,P0168,3846.24,2026-01-21,UPI
T00133,P0182,P0413,1556.44,2026-08-09,CARD
T00134,P0171,P0364,5318.11,2026-01-16,BANK_TRANSFER
T00135,P0215,P0160,1744.91,2026-08-17,BANK_TRANSFER
T00136,P0059,P0116,12581.06,2026-04-04,UPI
T00137,P0234,P0224,1945.74,2026-01-16,CARD
T00138,P0396,P0121,2813.97,2026-04-12,CARD
T00139,P0147,P0277,6980.07,2026-03-21,UPI
T00140,P0472,P0132,1360.09,2026-06-05,BANK_TRANSFER
T00141,P0423,P0489,4367.6,2026-02-13,UPI
