vehicle_id,owner_id,registration,vehicle_type
V0001,P0349,SYN-8291-001,Car
V0002,P0005,SYN-6629-002,Car
V0003,P0441,SYN-7919-003,Motorcycle
V0004,P0245,SYN-2160-004,Motorcycle
V0005,P0197,SYN-2463-005,Car
V0006,P0053,SYN-6133-006,Van
V0007,P0452,SYN-5902-007,Motorcycle
V0008,P0196,SYN-3181-008,Motorcycle
V0009,P0036,SYN-9691-009,Car
V0010,P0313,SYN-3688-010,SUV
V0011,P0180,SYN-4490-011,Motorcycle
V0012,P0471,SYN-7745-012,SUV
V0013,P0441,SYN-4559-013,Car
V0014,P0460,SYN-2646-014,Motorcycle
V0015,P0386,SYN-3017-015,SUV
V0016,P0180,SYN-8035-016,Van
V0017,P0406,SYN-3290-017,Motorcycle
V0018,P0142,SYN-2380-018,Motorcycle
V0019,P0284,SYN-5668-019,Car
V0020,P0435,SYN-5942-020,Motorcycle
V0021,P0266,SYN-9348-021,Motorcycle
V0022,P0383,SYN-7418-022,Van
V0023,P0331,SYN-1894-023,Motorcycle
V0024,P0254,SYN-7322-024,Car
V0025,P0124,SYN-9185-025,Car
V0026,P0271,SYN-1197-026,Van
V0027,P0479,SYN-6185-027,Motorcycle
V0028,P0199,SYN-7895-028,Van
V0029,P0280,SYN-3830-029,SUV
V0030,P0489,SYN-2195-030,Car
V0031,P0301,SYN-2106-031,Car
V0032,P0135,SYN-4534-032,Car
V0033,P0473,SYN-1990-033,SUV
V0034,P0260,SYN-5693-034,SUV
V0035,P0217,SYN-7590-035,Car
V0036,P0328,SYN-9791-036,Motorcycle
V0037,P0143,SYN-2369-037,Van
V0038,P0041,SYN-9377-038,Motorcycle
V0039,P0499,SYN-3545-039,Van
V0040,P0201,SYN-2083-040,Van
V0041,P0358,SYN-8167-041,Motorcycle
V0042,P0030,SYN-5005-042,Car
V0043,P0474,SYN-8118-043,Car
V0044,P0233,SYN-1901-044,Van
V0045,P0342,SYN-3877-045,Car
V0046,P0007,SYN-3248-046,Car
V0047,P0084,SYN-9133-047,Van
V0048,P0268,SYN-9474-048,Van
V0049,P0086,SYN-7092-049,Motorcycle
V0050,P0384,SYN-5403-050,Car
V0051,P0395,SYN-1480-051,Van
V0052,P0414,SYN-8034-052,Van
V0053,P0269,SYN-2046-053,Van
V0054,P0365,SYN-2262-054,SUV
V0055,P0234,SYN-9368-055,Van
V0056,P0029,SYN-9185-056,Motorcycle
V0057,P0189,SYN-3577-057,Van
V0058,P0396,SYN-2685-058,Car
V0059,P0117,SYN-9336-059,Car
V0060,P0023,SYN-1201-060,Motorcycle
V0061,P0024,SYN-8729-061,Van
V0062,P0197,SYN-3458-062,Motorcycle
V0063,P0477,SYN-1579-063,SUV
V0064,P0115,SYN-6272-064,Motorcycle
V0065,P0214,SYN-6241-065,Van
V0066,P0423,SYN-2276-066,Van
V0067,P0062,SYN-9225-067,Car
V0068,P0092,SYN-4656-068,Car
V0069,P0489,SYN-7568-069,Car
V0070,P0450,SYN-8620-070,Van
V0071,P0397,SYN-6090-071,Van
V0072,P0045,SYN-8483-072,Car
V0073,P0189,SYN-4287-073,Van
V0074,P0289,SYN-5979-074,Motorcycle
V0075,P0238,SYN-7033-075,SUV
V0076,P0396,SYN-4201-076,Motorcycle
V0077,P0078,SYN-1104-077,SUV
V0078,P0013,SYN-4817-078,Van
V0079,P0326,SYN-1157-079,Van
V0080,P0001,SYN-7164-080,Van
V0081,P0054,SYN-4361-081,Motorcycle
V0082,P0215,SYN-9061-082,Car
V0083,P0498,SYN-3332-083,Van
V0084,P0048,SYN-1719-084,Motorcycle
V0085,P0460,SYN-9515-085,SUV
V0086,P0359,SYN-7102-086,SUV
V0087,P0499,SYN-2391-087,Car
V0088,P0259,SYN-3187-088,SUV
V0089,P0039,SYN-2020-089,SUV
V0090,P0340,SYN-3141-090,Motorcycle
V0091,P0150,SYN-5276-091,Van
V0092,P0475,SYN-7438-092,Van
V0093,P0163,SYN-8417-093,Van
V0094,P0120,SYN-2223-094,Motorcycle
V0095,P0070,SYN-2785-095,Motorcycle
V0096,P0055,SYN-3693-096,SUV
V0097,P0239,SYN-6145-097,SUV
V0098,P0062,SYN-9780-098,Van
V0099,P0494,SYN-4401-099,SUV
V0100,P0158,SYN-8591-100,Van
V0101,P0437,SYN-2964-101,Car
V0102,P0081,SYN-5984-102,Car
V0103,P0111,SYN-6370-103,Motorcycle
V0104,P0047,SYN-5066-104,Van
V0105,P0203,SYN-9412-105,Car
V0106,P0347,SYN-5896-106,Van
V0107,P0420,SYN-3848-107,Car
V0108,P0488,SYN-7625-108,SUV
V0109,P0285,SYN-5093-109,Car
V0110,P0237,SYN-2669-110,Motorcycle
V0111,P0063,SYN-1195-111,Car
V0112,P0426,SYN-4641-112,Motorcycle
V0113,P0102,SYN-7563-113,Van
V0114,P0352,SYN-2376-114,Van
V0115,P0470,SYN-2228-115,Car
V0116,P0034,SYN-4239-116,SUV
V0117,P0415,SYN-3110-117,Car
V0118,P0464,SYN-6432-118,Car
V0119,P0022,SYN-8552-119,Car
V0120,P0087,SYN-8096-120,SUV
V0121,P0255,SYN-1483-121,SUV
V0122,P0350,SYN-7990-122,Motorcycle
V0123,P0182,SYN-4517-123,Motorcycle
V0124,P0141,SYN-5585-124,SUV
V0125,P0453,SYN-3435-125,Car
V0126,P0315,SYN-5026-126,Van
V0127,P0256,SYN-7750-127,SUV
V0128,P0032,SYN-2437-128,Van
V0129,P0197,SYN-3248-129,SUV
V0130,P0103,SYN-9614-130,Motorcycle
V0131,P0323,SYN-9907-131,Car
V0132,P0196,SYN-6883-132,SUV
V0133,P0279,SYN-8940-133,Van
V0134,P0468,SYN-9231-134,Van
V0135,P0199,SYN-5430-135,Motorcycle
V0136,P0014,SYN-6224-136,Motorcycle
V0137,P0016,SYN-5602-137,Car
V0138,P0415,SYN-8728-138,Van
V0139,P0393,SYN-4813-139,Motorcycle
V0140,P0052,SYN-5060-140,Motorcycle
V0141,P0137,SYN-9743-141,Car
V0142,P0392,SYN-4594-142,SUV
V0143,P0182,SYN-3846-143,Motorcycle
V0144,P0122,SYN-6210-144,Van
V0145,P0468,SYN-1462-145,Van
V0146,P0486,SYN-3328-146,Motorcycle
V0147,P0429,SYN-9064-147,Van
V0148,P0090,SYN-9035-148,Car
V0149,P0047,SYN-1920-149,Motorcycle
V0150,P0309,SYN-4584-150,Car
V0151,P0270,SYN-8831-151,Car
V0152,P0170,SYN-4300-152,Motorcycle
V0153,P0175,SYN-3907-153,Van
V0154,P0031,SYN-1359-154,Motorcycle
V0155,P0301,SYN-3320-155,Car
V0156,P0434,SYN-9622-156,Van
V0157,P0492,SYN-2188-157,Van
V0158,P0361,SYN-7481-158,Car
V0159,P0173,SYN-5944-159,Van
V0160,P0070,SYN-3580-160,SUV
V0161,P0406,SYN-8982-161,Van
V0162,P0090,SYN-6846-162,Motorcycle
V0163,P0341,SYN-3872-163,SUV
V0164,P0158,SYN-5825-164,Motorcycle
V0165,P0091,SYN-1029-165,SUV
V0166,P0436,SYN-1530-166,Motorcycle
V0167,P0309,SYN-6213-167,Motorcycle
V0168,P0328,SYN-2705-168,SUV
V0169,P0073,SYN-6425-169,Car
V0170,P0122,SYN-6682-170,Van
V0171,P0086,SYN-2453-171,Van
V0172,P0229,SYN-1186-172,Van
V0173,P0108,SYN-5088-173,Car
V0174,P0180,SYN-5205-174,Car
V0175,P0369,SYN-1020-175,Car
V0176,P0198,SYN-8179-176,SUV
V0177,P0497,SYN-3725-177,SUV
V0178,P0253,SYN-7204-178,Van
V0179,P0280,SYN-7149-179,Car
V0180,P0425,SYN-8855-180,Motorcycle
V0181,P0084,SYN-8393-181,Car
V0182,P0410,SYN-1547-182,Van
V0183,P0011,SYN-6221-183,Van
V0184,P0488,SYN-2715-184,Car
V0185,P0176,SYN-3787-185,SUV
V0186,P0083,SYN-2228-186,Car
V0187,P0174,SYN-8909-187,Car
V0188,P0221,SYN-3703-188,SUV
V0189,P0081,SYN-1877-189,Car
V0190,P0170,SYN-4367-190,Motorcycle
V0191,P0210,SYN-9849-191,Van
V0192,P0339,SYN-5612-192,Van
V0193,P0122,SYN-2571-193,Car
V0194,P0202,SYN-9043-194,Motorcycle
V0195,P0028,SYN-6911-195,Car
V0196,P0219,SYN-2435-196,Van
V0197,P0422,SYN-8869-197,Motorcycle
V0198,P0050,SYN-1421-198,Motorcycle
V0199,P0088,SYN-5781-199,Car
V0200,P0243,SYN-2892-200,Van
V0201,P0402,SYN-7512-201,SUV
V0202,P0251,SYN-5341-202,Car
V0203,P0329,SYN-9914-203,SUV
V0204,P0095,SYN-7078-204,SUV
